uem,inc_uem,dindiza,inc_dindiza,massangena,inc_massangena,pomene,inc_pomene,maravia,inc_maravia,nhangau,inc_nhangau,nhapassa_1,inc_nhapassa_1,lugela_1,inc_lugela_1,chomba,inc_chomba,nanhupo_1,inc_nanhupo_1,massangulo,inc_massangulo_1
0.846,0.098,0.31,-0.31,0.749,-0.289,0.953,-0.095,0.773,-0.376,0.734,0.269,0.316,0.03,0.227,-0.227,0.007,-0.007,0.045,-0.004,0.748,-0.067
0.943,0.003,0.426,0.543,0.46,0.394,0.858,0.01,0.398,0.355,,-0.186,0.346,0.08,0.163,-0.163,0.872,-0.872,0.04,0.005,0.681,-0.029
0.946,0.045,0.969,-0.969,0.853,0.032,0.868,0.024,0.752,-0.042,0.816,0.169,0.426,-0.085,0,0,0.818,-0.818,0.045,0.008,0.652,-0.026
0.991,-0.05,0.779,-0.779,0.885,-0.885,0.892,-0.892,0.71,-0.463,0.985,-0.088,0.341,0.024,0.014,-0.014,0.52,-0.52,0.053,0.004,0.627,0.131
0.942,-0.002,0.94,-0.147,0.631,-0.155,0.975,-0.247,0.247,-0.057,0.897,-0.897,0.365,0.598,0.047,-0.047,0.732,0.237,0.057,-0.003,0.757,-0.065
0.939,-0.005,0.794,-0.119,0.476,0.05,0.728,0.172,0.19,0.015,,0,0.962,-0.401,0,0.029,0.969,-0.385,0.054,-0.013,0.693,0.22
0.935,0.022,0.675,-0.675,0.526,-0.526,0.9,-0.02,0.205,-0.028,,-0.003,0.562,-0.294,0.029,0.128,0.584,-0.584,0.042,-0.022,0.913,-0.913
0.957,-0.029,0.879,-0.879,0.8,-0.457,0.88,-0.187,0.177,-0.012,,-0.002,0.268,0.548,0.157,-0.157,0.961,0.02,0.02,-0.019,0.865,-0.103
0.928,-0.002,0.553,0.264,0.343,0.052,0.693,-0.176,0.165,0.068,,-0.003,0.816,0.192,0.007,0.027,0.981,-0.425,0.744,-0.744,0.763,-0.017
0.926,0.003,0.817,-0.511,0.396,-0.396,0.517,-0.148,0.233,0.187,1,-0.007,0.801,-0.801,0.034,-0.034,0.556,-0.203,0.822,-0.072,0.745,-0.054
0.929,-0.002,0.307,-0.307,0.933,0.041,0.369,0.258,0.42,-0.42,0.993,0.001,0.679,0.088,0.049,-0.049,0.353,0.3,0.75,0.112,0.691,-0.084
0.927,-0.002,0.979,-0.161,0.974,-0.104,0.627,-0.627,0.578,0.203,0.994,0.003,0.766,-0.766,0.238,-0.238,0.653,0.179,0.862,-0.862,0.608,0.196
0.925,0,0.818,-0.552,0.87,-0.152,0.949,0.036,0.781,-0.781,0.997,0.001,0.707,0.223,0.001,-0.001,0.832,-0.009,0.997,-0.188,0.804,-0.066
0.926,0.003,0.266,-0.266,0.718,0.22,0.985,-0.985,0.896,-0.896,0.998,-0.099,0.93,-0.32,0.019,-0.019,0.823,0.121,0.808,-0.012,0.738,-0.157
0.929,0.01,0.951,-0.167,0.937,-0.937,0.961,-0.002,0.505,-0.313,0.899,-0.016,0.61,-0.022,0.001,-0.001,0.945,-0.577,0.797,0.181,0.58,0.038
0.938,-0.013,0.784,-0.137,0.992,-0.992,0.959,-0.198,0.192,-0.025,0.883,0.075,0.588,-0.18,0.036,-0.036,0.367,0.376,0.978,-0.156,0.618,0.068
